CompoundID,Tags,Name,Formula,Superclass,Class,Subclass,KEGG ID
FT_403.30673_1.401_HNEG,Potential ID (Low Confidence),"(3S,5R,10R,12S,14S,15R,16R)-3,5,10,14,15-Pentahydroxy-12,16-dimethyl-2-icosanone",C22 H44 O6,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_213.14837_16.91_RPPOS,Potential ID (Low Confidence),"(4S)-4,10-dihydroxydodec-2-en-1,4-olide",C12H20O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_203.12765_13.767_RPPOS,Potential ID (Low Confidence),"(5R,7R,9R)-7,9-dihydroxy-5-decanolide",C10H18O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_479.26519_1.679_HNEG,Potential ID (Low Confidence),"(5xi,8alpha,9xi,10alpha,13alpha)-13-(beta-D-Glucopyranosyloxy)kaur-16-en-18-oic acid",C26 H40 O8,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,
FT_313.2372_16.486_RPPOS,Potential ID (Low Confidence),(7S_8S)-DiHODE,C18H32O4,Lipids and lipid-like molecules,Prenol lipids,,
FT_459.31019_20.956_RPPOS,Potential ID (Low Confidence),(7S)-5-en-auransterol,C28H42O5,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_438.32121_14.612_RPPOS,Potential ID (Low Confidence),"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",C25H43NO5,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,
FT_170.1538_20.919_RPPOS,Potential ID (Low Confidence),(E)-2-decenamide,C10H19NO,Lipids and lipid-like molecules,,,
FT_231.15893_17.502_RPPOS,Potential ID (Low Confidence),"(E)-5,9-Dihydroxydodec-6-enoic acid",C12H22O4,Lipids and lipid-like molecules,Prenol lipids,,
FT_147.06506_1.451_RPPOS,Potential ID (Low Confidence),(R)-4-Dehydropantoate,C6H10O4,Lipids and lipid-like molecules,,,
FT_265.14321_13.729_RPPOS,Confirmed ID (High confidence),(S)-(+)-Abscisic Acid,C15H20O4,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_285.16953_15.926_RPPOS,Potential ID (Low Confidence),"(S)-6-(2,9-dihydroxynonyl)-4-hydroxy-3-methyl-2H-pyran-2-one",C15H24O5,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_347.29428_18.448_RPPOS,Potential ID (Low Confidence),(Z)-5-(heptadec-10-en-1-yl)resorcinol,C23H38O2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_295.19022_17.546_RPPOS,Potential ID (Low Confidence),[6]-Gingerol,C17H26O4,Lipids and lipid-like molecules,Fatty Acyls,,
FT_331.24783_16.909_RPPOS,Potential ID (Low Confidence),[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid,C18H34O5,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_506.38363_18.927_RPPOS,Potential ID (Low Confidence),"[Similar to: 1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose; ΔMass: -145.0266 Da]",C30H51NO5,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_489.35707_18.9_RPPOS,Potential ID (Low Confidence),"[Similar to: 1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose; ΔMass: -162.0532 Da]",C31H44N4O,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_668.43628_16.648_RPPOS,Potential ID (Low Confidence),"[Similar to: 1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose; ΔMass: 17.0260 Da]",C36H61NO10,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,
FT_668.4365_16.392_RPPOS,Potential ID (Low Confidence),"[Similar to: 1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose; ΔMass: 17.0262 Da]",C36H61NO10,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,
FT_519.33145_16.73_RPPOS,Potential ID (Low Confidence),"[Similar to: 2,3,12-trihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}carbonyl)-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-icosahydropicene-4-carboxylic acid; ΔMass: -162.0530 Da]",C31H42N4O3,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_369.26334_16.259_RPPOS,Potential ID (Low Confidence),[Similar to: NP-020189; ΔMass: 22.1144 Da],C15H37N4O4P,Lipids and lipid-like molecules,,,
FT_189.16363_19.054_RPPOS,Potential ID (Low Confidence),[Similar to: tetranor-12(R)-HETE; ΔMass: -78.0318 Da],C14H20,Lipids and lipid-like molecules,Prenol lipids,,
FT_189.16364_19.145_RPPOS,Potential ID (Low Confidence),[Similar to: tetranor-12(R)-HETE; ΔMass: -78.0318 Da],C14H20,Lipids and lipid-like molecules,Prenol lipids,,
FT_189.16365_18.672_RPPOS,Potential ID (Low Confidence),[Similar to: tetranor-12(R)-HETE; ΔMass: -78.0318 Da],C14H20,Lipids and lipid-like molecules,Prenol lipids,,
FT_189.16363_20.604_RPPOS,Potential ID (Low Confidence),[Similar to: Tetranor-12R-HETE; ΔMass: -78.0318 Da],C14H20,Lipids and lipid-like molecules,Prenol lipids,,
FT_189.16364_20.712_RPPOS,Potential ID (Low Confidence),[Similar to: Tetranor-12R-HETE; ΔMass: -78.0318 Da],C14H20,Lipids and lipid-like molecules,Prenol lipids,,
FT_243.15891_16.984_RPPOS,Potential ID (Low Confidence),"1-(5-(1-methoxypentyl)furan-2-yl)propane-1,2-diol",C13H22O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_243.15893_15.65_RPPOS,Potential ID (Low Confidence),"1-(5-(1-methoxypentyl)furan-2-yl)propane-1,2-diol",C13H22O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_357.2649_1.443_HNEG,Potential ID (Low Confidence),1-Hydroxy-1-(octanoyloxy)-2-propanyl nonanoate,C20 H38 O5,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_337.27355_20.953_RPPOS,Not in Internal DB. MS/MS match only,1-Linoleoyl glycerol,C21H38O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_337.27358_17.55_RPPOS,Not in Internal DB. MS/MS match only,1-Linoleoyl glycerol,C21H38O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_355.28408_20.953_RPPOS,Not in Internal DB. MS/MS match only,1-Linoleoyl glycerol,C21H38O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_375.3467_20.177_RPPOS,Potential ID (Low Confidence),1-O-(2R-hydroxy-nonadecyl)-sn-glycerol,C22H46O4,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,
FT_695.40055_1.678_HNEG,Not in Internal DB. MS/MS match only,"1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose",C36 H58 O10,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,
FT_365.21104_18.173_RPPOS,Not in Internal DB. MS/MS match only,"1,2-dihydroxyheptadec-16-yn-4-yl acetate",C19H34O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_235.1691_16.96_RPPOS,Not in Internal DB. MS/MS match only,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_275.16405_17.083_RPPOS,Not in Internal DB. MS/MS match only,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_187.13275_11.828_RPPOS,Potential ID (Low Confidence),10-hydroxy-2E-decenoic acid,C10H18O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_189.14841_15.883_RPPOS,Potential ID (Low Confidence),10-hydroxydecanoicacid,C10H20O3,Lipids and lipid-like molecules,Fatty Acyls,,
FT_311.25935_1.27_HNEG,Potential ID (Low Confidence),10-oxo-nonadecanoic acid,C19 H36 O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_313.27352_20.897_RPPOS,Potential ID (Low Confidence),10-oxo-nonadecanoic acid,C19H36O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_313.27354_20.483_RPPOS,Potential ID (Low Confidence),10-oxo-nonadecanoic acid,C19H36O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_313.27355_19.938_RPPOS,Potential ID (Low Confidence),10-oxo-nonadecanoic acid,C19H36O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_313.27356_19.829_RPPOS,Potential ID (Low Confidence),10-oxo-nonadecanoic acid,C19H36O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,
FT_243.21053_20.549_RPPOS,Not in Internal DB. MS/MS match only,10-Propoxydecanoic acid,C13H26O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_287.22287_1.247_HNEG,Potential ID (Low Confidence),"10,16-Dihydroxyhexadecanoic acid",C16 H32 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_287.22287_1.308_HNEG,Potential ID (Low Confidence),"10,16-Dihydroxyhexadecanoic acid",C16 H32 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_287.22288_1.666_HNEG,Potential ID (Low Confidence),"10,16-Dihydroxyhexadecanoic acid",C16 H32 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_253.25242_19.83_RPPOS,Potential ID (Low Confidence),10Z-Heptadecen-2-one,C17H32O,Lipids and lipid-like molecules,Fatty Acyls,,
FT_253.25242_19.937_RPPOS,Potential ID (Low Confidence),10Z-Heptadecen-2-one,C17H32O,Lipids and lipid-like molecules,Fatty Acyls,,
FT_285.20721_1.342_HNEG,Potential ID (Low Confidence),"11-(2,3-Dihydroxycyclopentyl)undecanoic acid",C16 H30 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_327.28921_17.235_RPPOS,Potential ID (Low Confidence),"11-Cycloheptyl,2-hydroxytridecanoic acid",C20H38O3,Lipids and lipid-like molecules,Fatty Acyls,,
FT_341.26849_17.086_RPPOS,Potential ID (Low Confidence),11-deoxy-PGF1a,C20H36O4,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_257.21097_18.658_RPPOS,Potential ID (Low Confidence),11-keto pentadecanoic acid,C15H28O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_211.16911_13.82_RPPOS,Potential ID (Low Confidence),"11-Methyl-2Z,5Z-dodecadienoic acid",C13H22O2,Lipids and lipid-like molecules,,,
FT_323.25935_1.092_HNEG,Potential ID (Low Confidence),"11,12-epoxy-14Z-Eicosenoic acid",C20 H36 O3,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,
FT_323.25936_1.198_HNEG,Potential ID (Low Confidence),"11,12-epoxy-14Z-Eicosenoic acid",C20 H36 O3,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,
FT_309.27861_17.235_RPPOS,Potential ID (Low Confidence),"11,14-eicosadienoic acid",C20H36O2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_265.25242_20.589_RPPOS,Potential ID (Low Confidence),"11E,14E-Octadecadienal",C18H32O,Lipids and lipid-like molecules,Fatty Acyls,,
FT_247.16907_19.752_RPPOS,Potential ID (Low Confidence),"11Z-Hexadecen-7,9-diynoic acid",C16H22O2,Lipids and lipid-like molecules,Prenol lipids,,
FT_247.16908_20.087_RPPOS,Potential ID (Low Confidence),"11Z-Hexadecen-7,9-diynoic acid",C16H22O2,Lipids and lipid-like molecules,Prenol lipids,,
FT_247.16908_20.161_RPPOS,Potential ID (Low Confidence),"11Z-Hexadecen-7,9-diynoic acid",C16H22O2,Lipids and lipid-like molecules,Prenol lipids,,
FT_247.16909_19.898_RPPOS,Potential ID (Low Confidence),"11Z-Hexadecen-7,9-diynoic acid",C16H22O2,Lipids and lipid-like molecules,Prenol lipids,,
FT_275.20035_18.859_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21086_19.401_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21092_16.431_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21094_17.141_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21094_17.948_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21094_18.699_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21096_19.477_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_293.21098_17.81_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_275.20036_16.43_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_275.20038_18.478_RPPOS,Not in Internal DB. MS/MS match only,12-Oxo phytodienoic acid,C18H28O3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_315.25283_19.567_RPPOS,Potential ID (Low Confidence),"12,13-DiHOME(9)",C18H34O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_315.25284_16.962_RPPOS,Potential ID (Low Confidence),"12,13-DiHOME(9)",C18H34O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_297.24224_19.417_RPPOS,Potential ID (Low Confidence),12(13)-EpOME,C18H32O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_297.24225_19.249_RPPOS,Potential ID (Low Confidence),12(13)-EpOME,C18H32O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_385.23865_1.236_HNEG,Potential ID (Low Confidence),"12a-Hydroxy-3-oxo-4,6-choladien-24-oic acid",C24 H34 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_283.22662_17.456_RPPOS,Potential ID (Low Confidence),12S-hydroxy-16-heptadecynoic acid,C17H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_355.32194_1.23_HNEG,Potential ID (Low Confidence),13-Hydroxydocosanoic acid,C22 H44 O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_205.1585_16.653_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_205.1585_18.901_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_205.1585_20.601_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_205.15851_20.716_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_205.15852_20.166_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_205.15853_16.381_RPPOS,Potential ID (Low Confidence),"13-tetradecen-2,4-diyn-1-ol",C14H20O,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_357.26341_17.492_RPPOS,Potential ID (Low Confidence),"13,14-dihydro-PGE1",C20H36O5,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_371.31688_1.355_HNEG,Potential ID (Low Confidence),"13,14-dihydroxy-docosanoic acid",C22 H44 O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_293.21234_1.149_HNEG,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18 H30 O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.22654_18.903_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.22657_18.622_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.2266_16.903_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.22661_17.823_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.22661_17.986_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_295.22663_17.728_RPPOS,Not in Internal DB. MS/MS match only,13(S)-HOTrE,C18H30O3,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_309.20726_1.143_HNEG,Potential ID (Low Confidence),13(S)-HpOTrE,C18 H30 O4,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,
FT_333.2059_19.817_RPPOS,Potential ID (Low Confidence),"14-Deoxy-11,12-didehydroandrographolide",C20H28O4,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_333.20593_19.905_RPPOS,Potential ID (Low Confidence),"14-Deoxy-11,12-didehydroandrographolide",C20H28O4,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_267.26808_20.205_RPPOS,Potential ID (Low Confidence),14E-Octadecenal,C18H34O,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,
FT_323.25795_17.087_RPPOS,Not in Internal DB. MS/MS match only,15-OxoEDE,C20H34O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_311.22147_18.91_RPPOS,Potential ID (Low Confidence),"15,16-dihydrosacrolide A",C18H30O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_311.2215_18.823_RPPOS,Potential ID (Low Confidence),"15,16-dihydrosacrolide A",C18H30O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_271.22795_1.302_HNEG,Not in Internal DB. MS/MS match only,16-Hydroxyhexadecanoic acid,C16 H32 O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,C18218
FT_365.26845_16.906_RPPOS,Not in Internal DB. MS/MS match only,"16,16-Dimethyl prostaglandin A1",C22H36O4,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,
FT_333.24226_16.737_RPPOS,Potential ID (Low Confidence),17alpha-hydroxypregnenolone,C21H32O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_331.22662_16.696_RPPOS,Not in Internal DB. MS/MS match only,17alpha-Hydroxyprogesterone,C21H30O3,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,
FT_469.3324_1.202_HNEG,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30 H46 O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,C02283
FT_471.34651_16.647_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34652_19.612_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34654_18.053_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34654_18.422_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34647_18.892_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34653_20.167_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34654_20.89_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34655_19.035_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34655_20.217_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34656_20.685_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34661_19.907_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_471.34664_19.131_RPPOS,Not in Internal DB. MS/MS match only,18-β-Glycyrrhetinic acid,C30H46O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_371.27901_19.952_RPPOS,Potential ID (Low Confidence),18S-hydroxyneodihydroprotolichesterinic acid,C21H38O5,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,
FT_273.18472_19.461_RPPOS,Not in Internal DB. MS/MS match only,19-Norandrostenedione,C18H24O2,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,
FT_457.33094_17.436_RPPOS,Potential ID (Low Confidence),"1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorvitamin D3 / 1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorcholecalciferol",C29H44O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_457.33096_17.876_RPPOS,Potential ID (Low Confidence),"1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorvitamin D3 / 1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorcholecalciferol",C29H44O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_457.33097_18.769_RPPOS,Potential ID (Low Confidence),"1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorvitamin D3 / 1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorcholecalciferol",C29H44O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_457.33097_19.946_RPPOS,Potential ID (Low Confidence),"1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorvitamin D3 / 1alpha-hydroxy-18-(5-hydroxy-5-methyl-2-hexynyloxy)-23,24,25,26,27-pentanorcholecalciferol",C29H44O4,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,
FT_403.32187_1.062_HNEG,Potential ID (Low Confidence),"1alpha,25-dihydroxy-19-norvitamin D3 / 1alpha,25-dihydroxy-19-norcholecalciferol",C26 H44 O3,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,
FT_145.04939_1.468_RPPOS,Potential ID (Low Confidence),2_3-Dimethylmaleate,C6H8O4,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_251.07142_1.182_HNEG,Potential ID (Low Confidence),2-(4-Hydroxyphenyl)-3-benzofuranyl methyl ketone,C16 H12 O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,
FT_235.16908_19.146_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.16909_18.474_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.16909_18.682_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.1691_16.355_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.1691_18.136_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.16911_16.158_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_235.16912_15.899_RPPOS,Not in Internal DB. MS/MS match only,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",C15H24O3,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,
FT_361.27357_18.581_RPPOS,Not in Internal DB. MS/MS match only,2-Arachidonoyl glycerol,C23H38O4,Lipids and lipid-like molecules,Endocannabinoids,,
FT_365.3048_18.448_RPPOS,Not in Internal DB. MS/MS match only,2-Arachidonyl glycerol ether,C23H40O3,Lipids and lipid-like molecules,Endocannabinoids,,
FT_383.35328_1.116_HNEG,Potential ID (Low Confidence),2-hydroxy Lignoceric Acid,C24 H48 O3,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohol esters,
